batch_id	batch_name	cond	cell_nm	f_no_digestion	mean_f_fend_dup	max_chrom_cov_abber	f_trans	trans_align	total_contacts	cis_ab_comp	trans_ab_comp	passed_qc	mean_insu	ord	group	f_mitotic_band	f_near_band	far_mu	repli_score
2	1CDS1_2891	1CDS1	1CDS1_76	0.254791085	0.015920922	0.106370591	0.072249229	0.32883086	159628	0.113132675	0.057520315	1	2.299800924	323	early-S	0.124131227	0.736998785	22974274.96	1.143789055
2	1CDS1_2891	1CDS1	1CDS1_77	0.322672162	0.034393089	0.096378021	0.060536802	0.323644308	332525	0.126135895	0.075204213	1	2.247057074	563	late-S/G2	0.091922006	0.789541715	25755517.95	1.269966608
2	1CDS1_2891	1CDS1	1CDS1_78	0.157142857	0	2.055675562	0.1	-0.128920537	140	Inf	NA	0	NA	NA	NA	NA	NA	NA	NA
2	1CDS1_2891	1CDS1	1CDS1_81	0.321055862	0.007085618	0.529092044	0.071165644	0.408856612	3260	0.067942943	Inf	0	NA	NA	NA	NA	NA	NA	NA
2	1CDS1_2891	1CDS1	1CDS1_82	0.408313341	0.016818203	0.131961341	0.058495386	0.391090543	57543	0.126342169	0.104014026	1	2.537629449	279	early-S	0.121959817	0.708847374	24241912.51	1.139594837
2	1CDS1_2891	1CDS1	1CDS1_83	0.243850391	0.030620619	0.555145239	0.09896884	0.386159633	320222	0.128990023	0.018943508	1	2.408248261	326	early-S	0.12059415	0.713308293	24122084.4	1.200350472
2	1CDS1_2891	1CDS1	1CDS1_84	0.256846939	0.032065672	0.097052569	0.072129604	0.326536995	359062	0.138801243	0.05450242	1	2.468512328	224	early-S	0.134470193	0.672034564	26493485.58	1.132023856
2	1CDS1_2891	1CDS1	1CDS1_85	0.288561829	0.034052065	0.571859165	0.078011674	0.294802449	288162	0.176015654	-0.004735146	1	2.270209523	534	late-S/G2	0.091199295	0.783664845	28041830.86	1.342583816
2	1CDS1_2891	1CDS1	1CDS1_86	0.298492141	0.035132898	0.094787752	0.07223524	0.339934994	416085	0.14234879	0.011685323	1	2.612097591	202	early-S	0.133919466	0.673317016	23464531.57	1.081579874
2	1CDS1_2891	1CDS1	1CDS1_87	0.364216263	0.010674347	0.218451866	0.045443289	0.283006485	16152	0.21485362	-0.012063092	0	NA	NA	NA	NA	NA	NA	NA
2	1CDS1_2891	1CDS1	1CDS1_88	0.326547922	0.009805056	0.571679675	0.072094996	0.309165697	1179	0.339142896	Inf	0	NA	NA	NA	NA	NA	NA	NA
2	1CDS1_2891	1CDS1	1CDS1_91	0.391561558	0.015969959	0.163954268	0.065181005	0.42773752	62733	0.060596017	0.017634854	1	2.281791037	494	early-S	0.099556567	0.764902092	24317736.47	1.314361018
2	1CDS1_2891	1CDS1	1CDS1_92	0.359747274	0.019573624	0.087543068	0.059602894	0.266306573	162425	0.090446027	0.016101924	1	2.452533004	127	G1	0.135128671	0.589703544	27695350.06	1.0591118
2	1CDS1_2891	1CDS1	1CDS1_93	0.316244986	0.029106842	0.509918631	0.043159463	0.322589653	361820	0.097906788	0.02765285	1	2.342672038	96	G1	0.151927388	0.552233968	25044113.56	1.01437105
2	1CDS1_2891	1CDS1	1CDS1_94	0.313137054	0.034068746	0.089067503	0.068575638	0.390528126	397735	0.172086827	0.053311043	1	2.328647189	234	early-S	0.122559709	0.696609553	24634387.58	1.094330629
2	1CDS1_2891	1CDS1	1CDS1_95	0.211238917	0.046287573	0.121329151	0.100833183	0.352105188	527495	0.151766564	0.03665015	1	2.412651062	374	early-S	0.107885325	0.728073979	25634448.84	1.257121717
2	1CDS1_2891	1CDS1	1CDS1_96	0.187796839	0.007449355	0.222022534	0.097760518	0.152405142	38625	0.11019098	0.041589818	1	2.285810117	490	early-S	0.102667063	0.769581598	31214725.46	1.301314978
