cond	cell_nm	ord	group	Loop_set	Enrichment3	CV5
1CDS1	1CDS1_194	209.0	early-S	R1BPeak_All_mm9	1.93	0.5153128485626997
1CDS1	1CDS1_194	209.0	early-S	Bonev_ES_CTCF_pairs_+-	1.32	0.0639420882480964
1CDS1	1CDS1_195	293.0	early-S	R1BPeak_All_mm9	1.56	0.39535316790889785
1CDS1	1CDS1_195	293.0	early-S	Bonev_ES_CTCF_pairs_+-	1.32	0.05610151278925775
1CDS1	1CDS1_196	482.0	early-S	R1BPeak_All_mm9	1.34	0.39067290488350226
1CDS1	1CDS1_196	482.0	early-S	Bonev_ES_CTCF_pairs_+-	1.35	0.03405028418013578
1CDS1	1CDS1_197	250.0	early-S	R1BPeak_All_mm9	1.18	0.3955299460230462
1CDS1	1CDS1_197	250.0	early-S	Bonev_ES_CTCF_pairs_+-	1.37	0.05875022436201738
1CDS1	1CDS1_198	53.0	G1	R1BPeak_All_mm9	2.1	0.49192002842939747
1CDS1	1CDS1_198	53.0	G1	Bonev_ES_CTCF_pairs_+-	1.28	0.09554012798661249
1CDS1	1CDS1_201	380.0	early-S	R1BPeak_All_mm9	1.73	0.6179281950324971
1CDS1	1CDS1_201	380.0	early-S	Bonev_ES_CTCF_pairs_+-	1.42	0.08445238278669412
1CDS1	1CDS1_202	72.0	G1	R1BPeak_All_mm9	1.37	0.4007538265963154
1CDS1	1CDS1_202	72.0	G1	Bonev_ES_CTCF_pairs_+-	1.33	0.05970603600072083
1CDS1	1CDS1_203	33.0	G1	R1BPeak_All_mm9	2.03	0.47353951211303313
1CDS1	1CDS1_203	33.0	G1	Bonev_ES_CTCF_pairs_+-	1.32	0.0707844614240117
1CDS1	1CDS1_204	257.0	early-S	R1BPeak_All_mm9	1.67	0.40687992994139305
1CDS1	1CDS1_204	257.0	early-S	Bonev_ES_CTCF_pairs_+-	1.37	0.04467095770577867
1CDS1	1CDS1_205	396.0	early-S	R1BPeak_All_mm9	1.18	0.43606947335290736
1CDS1	1CDS1_205	396.0	early-S	Bonev_ES_CTCF_pairs_+-	1.38	0.053933810218640695
1CDS1	1CDS1_206	713.0	late-S/G2	R1BPeak_All_mm9	1.07	0.358102158045368
1CDS1	1CDS1_206	713.0	late-S/G2	Bonev_ES_CTCF_pairs_+-	1.32	0.048012941368902586
1CDS1	1CDS1_207	62.0	G1	R1BPeak_All_mm9	1.97	0.4380470761206087
1CDS1	1CDS1_207	62.0	G1	Bonev_ES_CTCF_pairs_+-	1.4	0.05689610379103069
1CDS1	1CDS1_211	598.0	late-S/G2	R1BPeak_All_mm9	1.21	0.5457699781324498
1CDS1	1CDS1_211	598.0	late-S/G2	Bonev_ES_CTCF_pairs_+-	1.3	0.05750096849349497
1CDS1	1CDS1_212	483.0	early-S	R1BPeak_All_mm9	1.68	0.33432027881007553
